Season,Episode,WrittenBy,Scene,Character,Dialogue,IsChorusLine,IsMainCharacter,Location_raw,Location,WordCount,EpisodeLabel
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",monica,Oh geez! Okay! Thanks!,False,True,Central Perk,Central Perk,4,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",richard,It was great seeing you the other night.,False,False,Central Perk,Central Perk,8,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",monica,"Well, it was good to see you too. Did you come down here to tell me that?",False,True,Central Perk,Central Perk,17,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",richard,Noo! I came down here to tell you something else. I came here to tell you I still love you.,False,False,Central Perk,Central Perk,20,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",chandler,What the fu(beep)ck are you doing?!,False,True,Central Perk,Central Perk,6,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,Now you guys work with animals a lot. You had to work early on with a monkey,False,False,Central Perk,Central Perk,17,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,That damn monkey.,False,False,Central Perk,Central Perk,3,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,That damn monkey.,False,False,Central Perk,Central Perk,3,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",rachel,"Okay. Okay, see now the one with the feather boa? That's Dr. Francis. She used to be a man. Oh look! There(Marcel (Katie) jumps away)Okay. (And runs behind her on the back of the couch for a little while.)",False,True,Central Perk,Central Perk,39,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,"Katie. Geez! See Katie, come hereKatie! (Katie spills some popcorn.) Katie, come here Katie. (She obeys and sits where she's supposed to.) Very good.",False,False,Central Perk,Central Perk,24,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,"Lisa's laugh thoughThere'sIt's so infectious. It's one of those thingsjust forget about it. Once it starts, it's all gone.",False,False,Central Perk,Central Perk,21,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",rachel,"No y'know, I don't want to switch! Come on! I can throw wet paper towels here!",False,True,Central Perk,Central Perk,16,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",phoebe,Well at Monica's you can eat(Suddenly cracks up.),False,True,Central Perk,Central Perk,8,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",lisa,"Okay, shh yeah. Cause it's not silly.",False,False,Central Perk,Central Perk,7,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,Okay.,False,False,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",rachel,No-no Ph-Ph-Ph-Ph (She starts laughing.),False,True,Central Perk,Central Perk,5,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,(to Lisa) Ready?,False,False,Central Perk,Central Perk,3,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",lisa,Yeah.,False,False,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,And then it just builds on itself and there's no doing the scene after. I mean you probably wait and really get it together and do it.,False,False,Central Perk,Central Perk,27,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",david,"For me, I have a hard time with le Blanc in particular. When-whenI mean when",False,False,Central Perk,Central Perk,15,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,(to Matt) You bastard.,False,False,Central Perk,Central Perk,4,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matt,"Yeah, what did I do?",False,False,Central Perk,Central Perk,5,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",david,"I keep a straight face he-he delivers like this look, a reaction to you, or a certain take, I-II mean I find it so funny.",False,False,Central Perk,Central Perk,25,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,Mornin',False,True,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ross,Mornin',False,True,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,"I mean what kind of an actor, what kind of an actor can't even say, ""Hmm, noodle soup?""",False,True,Central Perk,Central Perk,18,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matt,That's a good one? (They both laugh.),False,False,Central Perk,Central Perk,7,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",david,"Now, we should go back and take the other line.",False,False,Central Perk,Central Perk,10,Unknown
